Experiment Results - 20250816_184713
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |  101 |    303 |   0.690 |   0.463 |   1.708 |   0.330 |       0.000 |       0.000 |  929.917 |  182.590
     Upper |  102 |    291 |   0.677 |   0.468 |   1.736 |   0.291 |       0.000 |       0.000 |  903.742 |  184.140
     Upper |  103 |    286 |   0.650 |   0.477 |   1.733 |   0.327 |       0.000 |       0.000 |  893.552 |  185.304
     Upper |  104 |    283 |   0.671 |   0.470 |   1.756 |   0.317 |       0.000 |       0.000 |  895.611 |  172.339
     Upper |  105 |    278 |   0.622 |   0.485 |   1.712 |   0.305 |       0.000 |       0.000 |  909.522 |  188.704
     Upper |  106 |    273 |   0.641 |   0.480 |   1.763 |   0.323 |       0.000 |       0.000 |  905.304 |  173.717
     Upper |  107 |    266 |   0.635 |   0.481 |   1.745 |   0.303 |       0.000 |       0.000 |  913.500 |  175.191
     Upper |  108 |    302 |   0.646 |   0.478 |   1.705 |   0.316 |       0.000 |       0.000 |  918.526 |  183.650
     Upper |  109 |    275 |   0.611 |   0.488 |   1.757 |   0.320 |       0.000 |       0.000 |  917.647 |  179.612
     Upper |  110 |    296 |   0.622 |   0.485 |   1.756 |   0.315 |       0.000 |       0.000 |  901.105 |  180.973
     Upper |  111 |    269 |   0.639 |   0.480 |   1.725 |   0.315 |       0.000 |       0.000 |  930.643 |  173.849
     Upper |  112 |    284 |   0.680 |   0.467 |   1.730 |   0.314 |       0.000 |       0.000 |  923.856 |  175.756
     Upper |  113 |    288 |   0.649 |   0.477 |   1.703 |   0.289 |       0.000 |       0.000 |  896.958 |  168.434
     Upper |  114 |    279 |   0.688 |   0.463 |   1.714 |   0.288 |       0.000 |       0.000 |  892.616 |  159.654
     Upper |  115 |    301 |   0.674 |   0.469 |   1.707 |   0.321 |       0.000 |       0.000 |  902.355 |  174.598
     Upper |  116 |    291 |   0.615 |   0.487 |   1.700 |   0.304 |       0.000 |       0.000 |  914.515 |  165.567
     Upper |  117 |    272 |   0.574 |   0.495 |   1.751 |   0.312 |       0.000 |       0.000 |  890.934 |  183.608
     Upper |  118 |    301 |   0.631 |   0.482 |   1.738 |   0.296 |       0.000 |       0.000 |  927.379 |  178.917
     Upper |  119 |    284 |   0.574 |   0.495 |   1.695 |   0.306 |       0.000 |       0.000 |  908.803 |  175.470
     Upper |  120 |    267 |   0.592 |   0.492 |   1.691 |   0.295 |       0.000 |       0.000 |  908.371 |  169.033
