Experiment Results - 20250802_132554
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |   70 |    250 |   0.660 |   0.474 |   1.783 |   0.408 |       0.000 |       0.000 |  318.488 |  100.454
     Upper |   71 |    232 |   0.703 |   0.457 |   1.739 |   0.415 |       0.000 |       0.000 |  326.323 |   99.455
     Upper |   72 |    261 |   0.625 |   0.484 |   1.703 |   0.442 |       0.000 |       0.000 |  314.534 |  100.427
     Upper |   73 |    239 |   0.669 |   0.470 |   1.747 |   0.388 |       0.000 |       0.000 |  326.205 |   97.138
     Upper |   74 |    257 |   0.646 |   0.478 |   1.768 |     nan |       0.004 |       0.062 |  316.461 |   94.824
     Upper |   75 |    231 |   0.719 |   0.450 |   1.771 |   0.419 |       0.000 |       0.000 |  314.565 |  102.024
     Upper |   76 |    264 |   0.720 |   0.449 |   1.802 |   0.415 |       0.000 |       0.000 |  322.585 |   93.210
     Upper |   77 |    258 |   0.698 |   0.459 |   1.763 |   0.417 |       0.000 |       0.000 |  314.649 |  106.753
     Upper |   78 |    237 |   0.688 |   0.463 |   1.754 |   0.387 |       0.000 |       0.000 |  316.829 |   90.292
     Upper |   79 |    239 |   0.619 |   0.486 |   1.766 |   0.407 |       0.000 |       0.000 |  328.031 |   90.211
     Upper |   80 |    252 |   0.690 |   0.462 |   1.749 |   0.372 |       0.000 |       0.000 |  316.813 |   90.478
     Upper |   81 |    239 |   0.703 |   0.457 |   1.775 |     nan |       0.004 |       0.065 |  315.126 |   93.756
     Upper |   82 |    238 |   0.664 |   0.472 |   1.692 |     nan |       0.004 |       0.065 |  324.548 |   90.192
     Upper |   83 |    257 |   0.704 |   0.456 |   1.778 |   0.392 |       0.000 |       0.000 |  313.486 |   95.357
     Upper |   84 |    246 |   0.646 |   0.478 |   1.732 |   0.394 |       0.000 |       0.000 |  311.512 |  100.164
     Upper |   85 |    237 |   0.722 |   0.448 |   1.766 |   0.403 |       0.000 |       0.000 |  310.947 |   93.399
     Upper |   86 |    230 |   0.609 |   0.488 |   1.704 |   0.430 |       0.000 |       0.000 |  321.496 |   91.011
     Upper |   87 |    231 |   0.662 |   0.473 |   1.723 |   0.353 |       0.000 |       0.000 |  320.173 |   92.082
     Upper |   88 |    250 |   0.644 |   0.479 |   1.734 |   0.375 |       0.000 |       0.000 |  317.216 |   94.841
     Upper |   89 |    236 |   0.691 |   0.462 |   1.747 |   0.402 |       0.000 |       0.000 |  314.968 |   94.748
     Upper |   90 |    250 |   0.688 |   0.463 |   1.689 |     nan |       0.004 |       0.063 |  323.204 |   91.042
     Upper |   91 |    224 |   0.670 |   0.470 |   1.733 |   0.322 |       0.000 |       0.000 |  313.859 |   87.259
