Experiment Results - 20250810_211425
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |  123 |    241 |   0.722 |   0.448 |   1.715 |   0.352 |       0.000 |       0.000 |  316.656 |   94.916
     Upper |  124 |    261 |   0.663 |   0.473 |   1.703 |   0.372 |       0.000 |       0.000 |  315.450 |   85.208
     Upper |  125 |    260 |   0.665 |   0.472 |   1.723 |   0.351 |       0.000 |       0.000 |  317.152 |   86.899
     Upper |  126 |    247 |   0.709 |   0.454 |   1.698 |   0.338 |       0.000 |       0.000 |  314.723 |   86.326
     Upper |  127 |    268 |   0.668 |   0.471 |   1.703 |   0.344 |       0.000 |       0.000 |  323.028 |   82.580
     Upper |  128 |    253 |   0.648 |   0.478 |   1.709 |   0.389 |       0.000 |       0.000 |  308.583 |   85.556
     Upper |  129 |    268 |   0.646 |   0.478 |   1.688 |   0.342 |       0.000 |       0.000 |  308.912 |   86.824
     Upper |  130 |    253 |   0.684 |   0.465 |   1.688 |   0.308 |       0.000 |       0.000 |  319.960 |   77.981
     Upper |  131 |    251 |   0.625 |   0.484 |   1.664 |   0.274 |       0.000 |       0.000 |  320.034 |   78.899
     Upper |  132 |    245 |   0.620 |   0.485 |   1.721 |   0.321 |       0.000 |       0.000 |  311.361 |   87.067
     Upper |  133 |    260 |   0.650 |   0.477 |   1.687 |   0.325 |       0.000 |       0.000 |  307.752 |   83.381
     Upper |  134 |    303 |   0.647 |   0.478 |   1.699 |   0.307 |       0.000 |       0.000 |  314.609 |   79.777
     Upper |  135 |    279 |   0.659 |   0.474 |   1.681 |   0.291 |       0.000 |       0.000 |  310.762 |   78.347
     Upper |  136 |    276 |   0.620 |   0.485 |   1.678 |   0.307 |       0.000 |       0.000 |  320.147 |   78.963
     Upper |  137 |    268 |   0.660 |   0.474 |   1.663 |   0.331 |       0.000 |       0.000 |  315.549 |   82.429
